title,rating,runtime,imdb_rating,tmdb_rating,meta_score,genre_1,genre_2,genre_3,description,director,stars,votes,gross
A Very Vintage Christmas,TV-G,87,6.1,7.7,NA,Comedy,Drama,Romance,An antique store owner (Tia Mowry-Hardrict) discovers a memory box of sentimental trinkets and attempts to find its rightful owner.,Paul A. Kaufman,"Tia Mowry, Jesse Hutch, Patricia Richardson, Agam Darshi,",684,NA
Christmas Child,NA,96,6.2,9.1,NA,Drama,NA,NA,A life-sized nativity leads a man to learn about his past and lost family.,Bill Ewing,"Bart Gavigan, William R. Moses, Tonya Bordeaux, Steven Curtis Chapman, Megan Follows,",650,NA
Christmas Love Letter,TV-PG,86,6.1,2.5,NA,Comedy,Drama,Mystery,"When relationship advice columnist Amalie Hess receives an unsigned love letter in a Christmas card, she returns to her hometown to solve the mystery of who sent it and maybe find true love.",Damián Romay,"Ashley Newbrough, Tilky Jones, Izzy Herbert, Ray Bengston,",642,NA
Christmas Eve on Sesame Street,TV-Y,60,8.4,6,NA,Comedy,Family,Music,"Big Bird worries when Oscar tells him that if Santa Claus can't fit down the chimney on Christmas Eve, nobody would get presents.",Jon Stone,"Jim Henson, Frank Oz, Jerry Nelson, Richard Hunt,",1066,NA
Heidi,Passed,88,7.2,4.3,NA,Drama,Family,Musical,"A plucky little orphan girl gets dumped abruptly into her gruff, hermit grandfather's care, then later gets retaken and delivered as a companion for an injured girl.",Allan Dwan,"Shirley Temple, Jean Hersholt, Arthur Treacher, Helen Westley,",4854,NA
Backfire,Passed,91,6.6,9,NA,Crime,Film-Noir,Mystery,"While recuperating from wartime back injuries at a hospital, veteran Bob Corey is visited on Christmas Eve by a beautiful stranger with an even stranger message.",Vincent Sherman,"Viveca Lindfors, Dane Clark, Virginia Mayo, Edmond O'Brien,",1692,NA
Spotlight on Christmas,TV-PG,84,6.1,8,NA,Drama,Romance,NA,"Dumped before Christmas, famous Hollywood actress Olivia secretly returns to her hometown to eat cookies and avoid the press. Instead, she must step up to take the starring role in her own life.",Ali Liebert,"Tori Anderson, Victor Zinck Jr., Lia Frankland, Janet Kidder,",910,NA
The Christmas Sitters,NA,80,5.4,7.9,NA,Comedy,Romance,NA,"Facing holiday flight delays on a return trip from Europe, two parents double-book incompatible babysitters: the mother's BFF lawyer friend, Nora, and the dad's guitarist half-brother, Max,...                See full summary »",Dylan Vox,"Tristin Mays, Nathan Owens, Melissa Ordway, Justin Gaston,",250,NA
A Dennis the Menace Christmas,G,83,4.7,5,NA,Comedy,Family,Fantasy,"To make sure that his beloved neighbour, Mr Wilson, has the perfect Christmas, the neighbourhood's lively six-year-old boy, Dennis Mitchell, makes a long list of things one needs to make it work. However, is Mr Wilson willing to change?",Ron Oliver,"Maxwell Perry Cotton, Robert Wagner, Louise Fletcher, Isaac Durnford,",2192,NA
The Twelve Days of Christmas Eve,PG,85,5.7,4.6,NA,Comedy,Drama,Fantasy,"A successful CEO meets a Latin American rep on Christmas Eve, thus neglecting his girlfriend, family, and employees, and the day magically repeats itself until he gets it right.",Martha Coolidge,"Steven Weber, Stefanie von Pfetten, Mark Krysko, Teryl Rothery,",1115,NA
Christmas on Mistletoe Lake,TV-PG,87,5.5,3.5,NA,Comedy,Romance,NA,"Interior designer Reilly finds herself this Christmas in the town of Mistletoe Lake with no place to stay. She accepts an offer from Ray to stay in his boat, helping him renovate the boat for the town's Christmas Harbor Festival.",Robin Dunne,"Genelle Williams, Corey Sevier, Hattie Kragten, Robin Dunne,",364,NA
Sleigh Bells Ring,TV-G,82,6.3,1.7,NA,Comedy,Family,Romance,A busy single mom tasked with organizing her city's Christmas parade discovers an antique sleigh which seems to have a mind of its own.,Marita Grabiak,"Erin Cahill, David Alpay, Dakota Guppy, Jenna Romanin,",1506,NA
Christmas in Love,TV-G,84,6.3,8.1,NA,Drama,Romance,NA,An aspiring crafter working in her small town's bakery shows the new big-city CEO that it's people and not machines which make the business a success.,Don McBrearty,"Brooke D'Orsay, Daniel Lissing, Mary-Margaret Humes, David Keeley,",2247,NA
A Perfect Christmas,TV-G,84,6.1,7.7,NA,Comedy,Family,Romance,"A newlywed couple prepare to host their first family Christmas together, but things don't go according to plan.",Brian K. Roberts,"Susie Abromeit, Dillon Casey, Erin Gray, Neil Crone,",1413,NA
After the Thin Man,Passed,112,7.6,9.2,NA,Comedy,Crime,Mystery,"Private detective Nick Charles and his wealthy wife Nora are back home at last and hoping for a quiet New Year when there is a murder. The obvious suspect is his wife, Nora's cousin, Selma.",W.S. Van Dyke,"William Powell, Myrna Loy, James Stewart, Elissa Landi,",11898,$4.34M
One Starry Christmas,TV-G,83,6.5,9.2,NA,Comedy,Drama,Romance,"When journeying by bus to surprise her boyfriend for Christmas, Holly meets a charming cowboy who accompanies her.",John Bradshaw,"Sarah Carter, Damon Runyan, Paul Popowich, Kathleen Laskey,",2311,NA
Christmas Time Is Here,NA,85,5.4,5.7,NA,Comedy,Family,Romance,Nia is a local realtor who is helping Julian find the ideal property to expand for his upscale property developer company. Julian sets his eye on Nia's family owned inn that is managed by ...                See full summary »,Christie Will Wolf,"Rukiya Bernard, Dewshane Williams, Tom Pickett, Jill Morrison,",732,NA
Christmas at Cartwright's,TV-G,84,6.3,7.4,NA,Comedy,Drama,Family,"A single mom gets a holiday job as a department store Santa to help boost her finances, and then an angel enters her life and brings about some positive changes, including the spark of a new romance.",Graeme Campbell,"Alicia Witt, Gabriel Hogan, Wallace Shawn, T.J. McGibbon,",2098,NA
